log2FC	gene_length_kb
6381	-0.0746155788871964	0.796
6382	0.294611334857102	0.797
6385	0.357370048857883	0.801
6386	0.106911954962393	0.803
6387	-0.0310624109754455	0.803
6390	0.0885331390570816	0.804
6392	-0.0792089427876662	0.806
6394	0.113582022254054	0.808
6397	0.136450498579318	0.811
6398	-0.342686100757388	0.815
6400	0.246202610668768	0.817
6403	-0.0248023441690046	0.821
6405	0.241775303977028	0.823
6412	0.656661000790654	0.827
6413	-0.24209838320736	0.828
6416	-0.0867861074733799	0.831
6419	-0.0551917490617952	0.836
6421	0.101549190271621	0.839
6423	0.849206308956552	0.84
6425	0.267660328681457	0.841
6431	0.0348614657165735	0.843
6433	0.0649070528560286	0.843
6436	-0.103569528717296	0.85
6438	0.638035983747555	0.851
6441	-0.0310624109754455	0.854
6443	0.966798555843104	0.858
6450	0.238908742269923	0.863
6451	-0.241503588260066	0.864
6452	-0.0117734417876336	0.865
6454	-0.0928076101110476	0.866
6456	-0.0316585201349163	0.866
6458	-0.835339337451322	0.87
6462	0.0385974830465193	0.874
6466	-0.15941178381348	0.879
6467	1.38752419650884	0.88
6468	-0.106385204289925	0.881
6469	-1.13391970039942	0.882
6471	-0.183435694045158	0.882
6473	0.0382748752630223	0.884
6475	0.175301536386465	0.884
6476	-0.0746155788871964	0.885
6478	0.494898296938469	0.887
6483	-0.659664883856659	0.888
6487	-0.209044527766722	0.893
6492	-0.239300759520802	0.896
6506	1.34004659896167	0.897
6508	0.842995001822431	0.898
6514	-0.702713903132139	0.901
6516	0.126968347534732	0.902
6530	0.142489209097888	0.904
6532	-0.0257368363200769	0.904
6537	0.0319224073533199	0.907
6540	-0.837482272354839	0.908
